,real_target,QS-Prediction,AS-Prediction
0,meningoencephalitis : causes,meningoencephalitis is a chronic disease . .,meningoencephalitis : physiology : causes physiological : treatments . physiologic syndrome : symptoms
1,ingrown nail : prevention,ingrown nail : prevention . click here for more information .,ingrown toe nails : physiology . diagnosis : causes . causes : treatments  physiologic ephemeral syndrome
2,hives : symptoms,hives symptoms : symptoms of a coma .,cutaneous condition|welts from hives . causes include allergic or nonallergic . urticarial vasculitis .
3,central diabetes insipidus : treatments,central diabetes insipidus is a disease characterized by ,desmopressin : treatments physiology : treatment physiologie . physiologic syndrome : prevention
4,amnesia : general,amnesia is the most populous country in the world .,amnesia : physiology : symptoms : causes  physiologic disease : treatments : diagnosis
5,intrinsic value (animal ethics) : general,intrinsic value (animal ethics) : a . .,intrinsic value of a human . he says animal rights advocates reaffirm the importance of intrinsic value . animal rights : physiology
6,common cold : diagnosis,common cold symptoms : diagnosis . : s,viral upper respiratory tract infection : symptoms . bronchitis : diagnose physiology : diagnosis : treatments
7,autosomal dominant polycystic kidney disease : physiology,autosomal dominant polycystic kidney disease : physio,adpkd : physiology : causes . ciliopathy|ciliopathies : symptoms
8,alcoholic cardiomyopathy : diagnosis,alcoholic cardiomyopathy is the most common disorder in the world .,enlarged heart on chest x-ray . symptoms include ecg abnormalities . alcohol abuse . diagnosis : diagnosis
9,hypohidrosis : treatments,hypohidrosis is a chronic disease . it can lead to,hypohidrosis : treatments - treatments : treatment . physiology of sjögren syndrome : therapies
10,vaginal yeast infection : diagnosis,vaginal yeast infection : diagnosis and treatment . u.,candidal vulvovaginitis : symptoms . physiology of candida : physiological
11,spinal tumor : physiology,spinal tumor . physiology : physiologist .,spinal cord : physiology . physiologic fibrosis : causes physiological : treatments : symptoms
12,night terror : diagnosis,night terror diagnosis : diagnosis of . swollen eyes ,sleep terror disorder : diagnose . physiology of a nervous system : diagnosis : diagnostic : treatments - treatments
13,pathology : diagnosis,pathology is the most common symptom in the u.s.,general pathology : physiology : treatments . san francisco disease : diagnostics : diagnosis
14,toxoplasmic chorioretinitis : physiology,toxoplasmic chorioretinitis :,congenital toxoplasma gondii : physiology . physiologic sclerosis : causes
15,presbycusis : physiology,presbycusis : physiology . .,presbycusis : physiology - physiologies : causes . physiologic presynthetic syndrome : symptoms
16,pectus excavatum : diagnosis,pectus excavatum : diagnosis . .,pectus excavatum . hepatitis c : diagnosis . physiologic systole : diagnose
17,hereditary breast–ovarian cancer syndrome : general,hereditary breast–ovarian cancer syndrome : a symptom,hereditary breast–ovarian cancer syndrome . he says genetic susceptibility to cancer mainly in women . cancer : causes
18,familial mediterranean fever : symptoms,familial mediterranean fever : symptoms . ,aa-amyloidosis : physiology : symptoms - symptoms : causes . socioeconomics
19,mucoepidermoid carcinoma : diagnosis,mucoepidermoid carcinoma : diagnosis . .,mucoepidermoid carcinoma : physiology . bronchial and salivary glands : diagnosis
20,rectovaginal fistula : general,rectovaginal fistula : a .,rectovaginal fistula : physiology : symptoms . physiologic fibrosis : diagnosis
21,coronary artery aneurysm : causes,coronary artery aneurysm : causes of .,acquired causes include atherosclerosis . kawasaki disease and coronary catheterization . congenital sclerosis : causes
22,specific language impairment : general,specific language impairment : a general apprehension .,specific language impairment : causes physiology : symptoms . sociology and social sciences : treatments physiologic : diagnosis
23,ganglioglioma : physiology,ganglioglioma : physiology .,ganglioglioma : physiology : treatments physiologic : causes . physiologist : symptoms
24,dehydration : prevention,dehydration is the prevention of a serious illness . .,thirst : physiology : treatments : prevention : interventions : causes : symptoms : responses to illness : general
25,neuromuscular junction : general,neuromuscular junction : systoma .,"neuromuscular junction (or myoneural junction), a chemical synapse . he says motor neuron : physiology"
26,hidradenitis suppurativa : general,hidradenitis suppurativa : general,hidradenitis suppurativa . he says underlying cause of disease is a combination of genetic and environmental factors .
27,gigantism : treatments,gigantism is a treatment for a serious disease .,"gigantism : treatments physiology : treatment . acromegaly, san francisco, edinburgh, daniel et al., psg: treatments"
28,immunodeficiency : causes,immunodeficiency : causes of a symptom .,immunodeficiency . causes : causes physiology . physiologies : symptoms . symptoms : physiologic
29,cystocele : causes,cystocele : causes of a coma .,a cystocele : physiology : causes physiological . physiologic fibromyalgenia : symptoms
30,lichen planus : symptoms,lichen planus symptoms : symptoms . a coma,lichen planus : physiology : treatments physiologique . physiologic syndrome : symptoms : diagnosis
31,multiple endocrine neoplasia type 2 : treatments,multiple endocrine neoplasia type 2 ,men2 patients : management : diagnosis : treatments : treatment : interventions  interventions ; treatments ; diagnosis ; treatment
32,spinal muscular atrophy : general,spinal muscular atrophy : a sclerosis . .,spinal muscular atrophy : physiology : symptoms : causes physiological . physiologic syndrome : general
33,lung abscess : symptoms,lung abscess . symptoms : symptoms . .,necrotizing staphylococcus . bacillary pneumonias . symptoms : physiology : causes . causes
34,wagr syndrome : symptoms,wagr syndrome . symptoms are common in england ,wagr syndrome : diagnosis physiology : treatments : diagnostic . diagnosis: treatments for gynaecologic diagnosis
35,aniseikonia : symptoms,aniseikonia is a chronic disease . .,"diplopia, suppression, eyestrain . hepatitis c . symptoms : causes . causes"
36,diabetic ketoacidosis : treatments,diabetic ketoacidosis . a symptom .,diabetic ketoacidosis . he says rehydration is a cause of adolescence : treatments
37,mucoepidermoid carcinoma : symptoms,mucoepidermoid carcinoma : symptoms . .,predilection towards female sex . hepatitis c : symptoms . symptoms : treatments . physiology
38,african horse sickness : diagnosis,african horse sickness is the most common condition in the uk .,presumptive diagnosis : diagnosis physiology : diagnostic . elisa and viral rna . diagnosis
39,mouth ulcer : diagnosis,mouth ulcer : diagnosis of a comorbidity .,malignant ulcer : diagnosis : treatments : symptoms : diagnostics . experts: treatments of oral cancer : diagnoses
40,morphea : general,morphea : a symbiosis,"morphea . a form of scleroderma . it involves patches of hardened skin on the face, hands, feet ."
41,infective endocarditis : prevention,infective endocarditis : prevention and prevention .,infective endocarditis . hexandroma : treatments . hezbollah et al.
42,hypopituitarism : physiology,hypopituitarism : physiology . .,pituitary gland : physiology : causes physiologic : mechanisms physiologique . symbiosis : symptoms
43,postcholecystectomy syndrome : diagnosis,postcholecystectomy syndrome syndrome : diagnosis .,retrograde cholangiopancreatography . esophagogastroduodenoscopy : physiology
44,congenital heart defect : symptoms,congenital heart defect symptoms : symptoms . eti,congenitalheartcase 133 . jpg|thumb|rights] image : stella mccartney .
45,subclavian steal syndrome : general,subclavian steal syndrome : a systo,subclavian steal syndrome . it is a constellation of sign (medicine)|signs and symptoms . he says it can be attributed to retrograde stenosis .
46,diastasis symphysis pubis : general,diastasis symphysis pubis :,diastasis symphysis pubis : physiology : symptoms : causes physiologic : treatments
47,radiculopathy : diagnosis,radiculopathy is the diagnosis of a symptom . ,radiculopathy of the left cervical spinal nerve 7 . he says symptoms include spondylosis with osteophytes . neurology: diagnosis
48,genital wart : diagnosis,genital wart syndrome : diagnosis of a coma,genital wart with h&e stain . hepatitis c : diagnosis . physiology
49,calciphylaxis : symptoms,calciphylaxis : symptoms of . .,calciphylaxis : physiology : treatments physiologique : causes physiologic : symptoms : diagnosis
50,zellweger syndrome : diagnosis,zellweger syndrome asymptomatic . hepat,peroxisomal zellweger syndrome . hepatic fibrosis : diagnostic . hepatosis
51,mental disorder : diagnosis,mental disorder is a common disorder in the u.s .,mental illness : diagnosis physiology : treatments : diagnostics - treatments - interventions . psychiatric diagnosis : diagnose
52,landau–kleffner syndrome : causes,landau–kleffner syndrome : causes . .,central nervous system vasculitis . symptoms of lks : causes . causes : physiology ; causes
53,hellp syndrome : physiology,hellp syndrome : physiology . click here for more ,hellp syndrome : physiology : causes . hepatocellular fibrosis : symptoms : treatments
54,trichuriasis : treatments,trichuriasis : treatments . u.,ivermectin . a symptom : treatments . treatments : therapies . . experts: treatments
55,congenital hypothyroidism : causes,congenital hypothyroidism : causes of . ,[{'summary_text': "congenital hypothyroidism . he says it's caused by termed dyshormonogenesis . hypoplastic gland : causes"}]
56,frontotemporal dementia : physiology,frontotemporal dementia : physiology . sy,dementia lacking distinctive histology . ftld-tau : physiology - diagnosis : diagnosis . diagnosis
57,carcinoid : general,carcinoid is a common disease . it can cause ,neuroendocrine tumor : causes physiology : symptoms : treatments . socio-economic ephemeral cancer : general
58,systemic scleroderma : symptoms,systemic scleroderma : symptoms . .,diffuse cutaneous scleroderma . symptoms include hypertension : physiology and physiologies . sclerosis : symptoms
59,california encephalitis orthobunyavirus : treatments,california encephalitis orthobunyavirus,acetaminophen . hepatitis c . symptoms : treatments . treatments : treatment : interventions
60,rectocele : symptoms,rectocele symptoms : symptoms of a coma ,rectocele . symptoms of bowel movement : causes . bowel disease : physiology : symptoms
61,calculus (medicine) : treatments,calculus (medicine) : treatments . click here for all the,[{'summary_text': "predisposing factors . physiologic physiology : treatments . st. mcdonald's ."}]
62,pectus excavatum : physiology,pectus excavatum : physiology .,thoracic diaphragm . physiology : causes . symptoms : symptoms . treatments : treatments
63,orofacial granulomatosis : diagnosis,orofacial granulomatosis : diagnosis .,granuloma ofg . sarcoidosis : causes . causes : physiology .
64,hyperoxia : general,hyperoxia : a systomy .,hyperoxia : physiology : causes . physiologic toxicity : symptoms : conditions . symptoms: causes: causes
65,sympathetic ophthalmia : general,sympathetic ophthalmia : a symptom .,sympathetic ophthalmia : physiology : symptoms . symbiosis : diagnosis
66,insulin resistance : physiology,physiology of insulin resistance : a symbiotic,visceral adiposity : physiology : causes : mechanisms physiologic . symbiosis : symptoms
67,frustration : symptoms,frustration : symptoms of a sympathetic state .,frustration : physiology : causes physiologic . physiological response : symptoms
68,biliary atresia : treatments,biliary atresia : treatments for bil,biliary atresia : physiology : treatments : interventions : prevention - interventions - intervention : diagnosis
69,gout : symptoms,gout symptoms : symptoms of a coma .,[{'summary_text': "image:gout2010 .jpg|thumb|upright image : posthumous's . posthumously ."}]
70,melkersson–rosenthal syndrome : treatments,melkersson–rosenthal syndrome : treatments . ,nonsteroidal anti-inflammatory drugs . treatments may include anti-immunosuppressants . treatment may include antibiotics and immunosuppression .
71,candidiasis : symptoms,candidiasis symptoms : symptoms of a coma,"esophageal candidiasis . symptoms include dysphagia, odynophagia, nausea ."
72,hepatic veno-occlusive disease : physiology,hepatic veno-occlusive disease : ,[{'summary_text': "venous endothelium veno-occlusive disease . vodi's symptoms are symptomatic ."}]
73,narration : general,what is narration . click here for all the latest samari,narrator is a general general general . he says narrative consists of general symbiosis . general : general
74,nyctalopia : causes,nyctalopia is a chronic disease . .,retinitis pigmentosa retinal detachment . medications include phenothiazines oguchi disease .
75,laryngomalacia : causes,laryngomalacia : causes of . .,laryngomalacia : physiology : symptoms : causes physiological : treatments . physiologic syndrome
76,sleepwalking : diagnosis,sleepwalking is a common disorder in the u.s.,sleepwalking disorder : diagnostic physiology : diagnosis . physiologic syndrome : diagnossia : treatments
77,anal sac adenocarcinoma : general,[{'summary_text': "anal sac adenocarcinoma : '"}],anal sac adenocarcinoma . apocrine glandular tumor : physiology . diagnosis: diagnosis
78,sciatica : diagnosis,sciatica diagnosis : diagnosis . sympathetic ,piriformis syndrome : diagnostic physiology : diagnosis . physiologic sciatica : diagnoses
79,veterinary medicine : general,veterinary medicine : a symbiotic system .,veterinary medicine : physiology : treatments physiologique . san francisco-born animal disease : treatment
80,dentin dysplasia : treatments,dentin dysplasia : treatments for the condition .,periapical abscesses and pulpal necrosis . he says treatment can lead to premature exfoliation and tooth mobility .
81,precocious puberty : treatments,precocious puberty : treatments for the disease .,gnrh agonist anastrozole . hepatitis c - a symptom : treatments
82,type 2 diabetes : physiology,type 2 diabetes : physiology . et al ,type 2 diabetes : physiology : causes : mechanisms physiologique . physiologic syndrome : symptoms
83,alveolar osteitis : symptoms,alveolar osteitis : symptoms . .,"alveolar osteitis . symptoms include swollen glands, erythema . bronchitis : symptoms"
84,lymphomatoid granulomatosis : physiology,lymphomatoid granulomatosis : physiology,ebv-infected malignant b-cells : physiology . physiologic relapse : causes
85,multicystic dysplastic kidney : diagnosis,multicystic dysplastic kidney disease : diagnosis . .,"mcdk . antenatal . diagnosis . symptoms : diagnosis, diagnosis, diagnoses . treatments : treatments"
86,thoracic outlet syndrome : general,thoracic outlet syndrome is the most common symptom in the world,"thoracic outlet syndrome . symptoms include edema, swelling, coldness, and pallor . syndrome : general"
87,x-linked ichthyosis : diagnosis,x-linked ichthyosis : diagnosis ,xli deficiency : diagnosis physiology : treatments physiologique : diagnostic physiologic : diagnoses
88,dependent personality disorder : treatments,dependent personality disorder : treatments . click here for more information .,dpd : treatments physiology : treatment physiotherapy . san francis edwards syndrome - treatments
89,obesity hypoventilation syndrome : diagnosis,obesity hypoventilation syndrome : diagnosis of a symptom ,obstructive sleep apnea . he says diagnosis varies from diagnosis to diagnosis . diagnosis : diagnosis
90,acute disseminated encephalomyelitis : treatments,acute disseminated encephalomyelitis :,corticosteroids : treatments - treatments : treatment : interventions : prevention : intervention : prévention : action : perspectives
91,abrasion (dental) : treatments,abrasion (dental) is a treatment for a,abrasion lesion : treatments physiology - treatments - physiologies - treatment : prevention : interventions
92,hepatorenal syndrome : causes,hepatorenal syndrome : causes of . .,hepatorenal syndrome : physiology : causes . cirrhosis . hepatosis
93,peliosis hepatis : treatments,peliosis hepatisis is the most common,azathioprine . remission in kidney transplant . partial resection of liver / liver transplantation .
94,sick building syndrome : diagnosis,sick building syndrome is a chronic disease characterized by a fever ,building-related illness : causes . hepatitis c : symptoms : diagnosis : treatments : diagnoses : general
95,onchocerciasis : causes,onchocerciasis : causes of disease . .,[{'summary_text': "'onchocerca volvulus' is a parasite . he ingests microfilaria : physiology"}]
96,leber congenital amaurosis : symptoms,leber congenital amaurosis . symptoms of leber,congenital syndrome : physiology : diagnosis . physiologic lca : treatments : diagnoses
97,chilblains : symptoms,chilblains : symptoms of a coma,pruritis in extremities dermatitis . erythema : physiology : causes . causes
98,rhinophyma : diagnosis,rhinophyma is a rare disease . it can cause ,rhinophyma . a skin biopsy . can confirm diagnosis . the diagnosis is a symptom of a fever .
99,sphincter of oddi dysfunction : physiology,sphincter of oddi dysfunction : physiology ,sphincter of oddi dysfunction . causes include stenosis . biliary dyskinesia
100,leukostasis : general,leukostasis is the most common disease in the world ,symptomatic hyperleukostasis : physiology : symptoms . physiologic leukemia : diagnosis
101,neurasthenia : symptoms,neurasthenia : symptoms of a coma .,neurasthenia : physiology : causes . socioeconomic repercussions of monetary system disease : symptoms
102,pyruvate carboxylase deficiency : diagnosis,pyruvate carboxylase deficiency : diagnosis,pyruvate carboxylase deficiency . symptoms are characterized by severity and severity of symptoms . physiology
103,orthostatic intolerance : diagnosis,orthostatic intolerance : diagnosis of . sclerosis ,oi : diagnoses : treatments . experts: treatments can help apoptosis . treatments can be asymptomatic .
104,expressive aphasia : general,expressive aphasia : asymptomatic .,expressive aphasia . he says speech is characterized by partial loss of the ability to produce language . speech : general
105,aura (symptom) : general,aura (symptom) : syst . :,epilepsy : physiology : symptoms : causes . experts say migraines : treatments : diagnosis
106,hemifacial spasm : causes,hemifacial spasm causes a disproportionate number of,hemifacial spasm . ephaptic synapse : physiology . diagnosis : causes
107,silicosis : symptoms,silicosis symptoms : symptoms of . bowel syndrome,chronic silicosis . symptoms include dyspnea . physiology : symptoms . expert: symptoms
108,tendinopathy : causes,tendinopathy is a common cause . it can cause a,achilles tendinitis calcific tendineitis patellar tendine . hepatitis c : causes
109,tick-borne disease : treatments,tick-borne disease is a common disease . it can cause ,tick-borne disease : diagnosis : treatments . experts : diagnose symptomatic ephemera : treatment
110,pneumothorax : general,pneumothorax is the most common disease in the u.s,a pneumothorax : physiology : symptoms : causes . socio-political pulmonary disease : treatments
111,onychomycosis : symptoms,onychomycosis symptoms : symptoms . .,fungal nail infection . symptoms include onychomycosis . dermatophytid : physiology
112,monckeberg's arteriosclerosis : symptoms,[{'summary_text': "monckeberg's arteriosclerosis symptoms : symptoms ."}],"[{'summary_text': ""mönckeberg's arteriosclerosis . symptoms include atherosclerosis, calciphylaxis .""}]"
113,crohn's disease : diagnosis,[{'summary_text': "crohn's disease : diagnosis . hepatitis"}],lichen nitidus . hexadecimal bowel disease . diagnosis : diagnosis physiology : treatments
114,budd–chiari syndrome : symptoms,budd–chiari syndrome symptom : symptoms of bud,fulminant syndrome : physiology . physiologic fibrosis : symptoms : diagnosis : treatments
115,epiglottitis : prevention,epiglottitis is the most common disease in the world .,hib vaccine . rifampin|rifampicin is a bacterial infection . it can be used to prevent the disease .
116,snoring : symptoms,snoring is a common disorder . it can cause,loud snoring : physiology : causes . socioeconomic reversal of abrasive pulmonary disease
117,infant respiratory distress syndrome : physiology,infant respiratory distress syndrome : physiology . sys,respiratory distress syndrome : physiology : prevention : treatments : diagnosis : interventions : causes : symptoms : diagnostics  sociology
118,pulmonary hypertension : diagnosis,pulmonary hypertension : diagnosis . a randomized controlled trial,pulmonary hypertension : diagnosis physiology : treatments : diagnoses : diagnostics . experts: diagnosis
119,heavy chain disease : general,heavy chain disease is a common occurrence in the u.s,heavy chain disease . causes : physiology - physiologie : causes . physiologic : treatments : general
120,protein s deficiency : general,protein s deficiency : a . .,protein s deficiency . causes of venous thrombosis : physiology . symptoms : symptoms
121,mycotoxin : general,mycotoxin : a skepticism .,[{'summary_text': "mycotoxin . he says the term 'fungus' is reserved for fungi that colonize crops . mycotoxins causing disease : causes"}]
122,chorea gravidarum : treatments,chorea gravidarum is a symbiotic ,"severe disabling chorea . valproic acid, chloral hydrate, or phenobarbital : treatments"
123,large intestine : general,large intestine : a symbiotic .,large intestine . he says general gastrointestinal tract . general hegema : physiology . global : general
124,psychomotor agitation : symptoms,psychomotor agitation : symptoms of a . .,psychomotor agitation . symptoms : physiology – symptoms – physiologic . physiotherapy : symptoms
125,crush syndrome : physiology,crush syndrome : physiology . senior ,crush syndrome : physiological physiology . hepatitis c : symptoms : causes physiologic diagnosis
126,liver abscess : treatments,liver abscess is a treatment for a chronic disease ,"iv metronidazole, cephalosporin/quinolone . -lactam antibiotics ."
127,complex regional pain syndrome : symptoms,complex regional pain syndrome . symptoms : symptoms of . .,"crps : symptoms : causes . symptoms: causes, causes : physiology : treatments . socioeconomics: causes"
128,serotonin syndrome : causes,serotonin syndrome : causes . elga,serotonin syndrome : physiology : causes physiologic : mechanisms physiologique . physiological toxicity
129,hepatitis c : diagnosis,hepatitis c - a symptom .,chronic hepatic fibrosis : diagnostic physiology . elisa|enzyme immunoassay : diagnosis
130,cryopyrin-associated periodic syndrome : treatments,cryopyrin-associated periodic syndrome : treatments . .,interleukin 1 beta|interleukine 1 . hepatitis c : physiology : treatments
131,major depressive disorder : diagnosis,major depressive disorder : diagnosis of . dr .,major depressive disorder : diagnostic physiology : diagnose . physiologic relapse - diagnosis : diagnosis
132,myelofibrosis : general,myelofibrosis is a chronic disease characterized by,[{'summary_text': "primary myelofibrosis . he says the term 'myeloproliferative neoplasm'"}]
133,anaplastic thyroid cancer : symptoms,anaplastic thyroid cancer is a common condition . it is ,"anaplastic thyroid cancer . symptoms include redness, swelling, esophageal sclerosis . hepatitis c : symptoms"
134,bornholm disease : causes,bornholm disease is a chronic disease . it is thought to,coxsackie b virus : physiology : causes . physiologic sclerosis : symptoms
135,henoch–schönlein purpura : physiology,henoch–schönlein purpura physiology .,henoch–schönlein purpura : physiology : symptoms . hippocampus syndrome : causes
136,ascariasis : causes,ascariasis : causes . syphilis,ascariasis : physiology : causes . socioeconomic toxicity : prevention : treatments : symptoms
137,sideroblastic anemia : general,sideroblastic anemia is the most common symptom in the world,sideroblastic anemia : physiology - physiologie : causes . hematological malignancies : general
138,vitamin e deficiency : treatments,vitamin e deficiency : treatments for the disease .,oral vitamin e supplementation . elga : treatments . treatments : prevention . prevention : prévention : treatment
139,neuralgia : treatments,neuralgia is a chronic disease . it can be ,neuronalgia : treatments . physiologic neuropathic pain . physiology : treatment
140,developmental language disorder : treatments,developmental language disorder . a general disorder characterized by a ,slt intervention : physiology - treatments - physiotherapy : treatments . autism spectrum disorder : therapies
